mode,run_id,best_epoch,replicate,accuracy,kappa,f1-score,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
TMA16,275,328,3,0.402489626556017,0.450875112309075,0.346766684036893,TMA15,,,
TMA16,275,328,3,0.366935483870968,0.247681194212261,0.222337789862505,TMA17,,,
TMA16,275,328,3,0.434684684684685,0.609225400104515,0.374899693916478,TMA18,,,
TMA16,275,328,3,0.415094339622642,0.56848674883917,0.339148387684908,TMA19,,,
TMA17,276,446,3,0.470472440944882,0.639573047406433,0.403177012000718,TMA14,0.461538461538462,0.654762506955334,0.397297588702974
TMA17,276,446,3,0.429460580912863,0.551008608505718,0.329770607012762,TMA15,,,
TMA17,276,446,3,0.405204460966543,0.507096892153473,0.290376381742973,TMA16,,,
TMA17,276,446,3,0.443693693693694,0.556053983835566,0.329555189666288,TMA18,,,
TMA17,276,446,3,0.404612159329141,0.518151994949182,0.284272285304218,TMA19,,,
TMA18,277,487,3,0.423228346456693,0.570905409965133,0.320874009577057,TMA14,0.374358974358974,0.490435108777194,0.308618143418685
TMA18,277,487,3,0.45850622406639,0.572457731704307,0.349169243552272,TMA15,,,
TMA18,277,487,3,0.50185873605948,0.675122085203152,0.392769543781726,TMA16,,,
TMA18,277,487,3,0.375,0.483952920275372,0.270079217704292,TMA17,,,
TMA18,277,487,3,0.480083857442348,0.647236751560581,0.383272682185098,TMA19,,,
TMA19,278,395,3,0.303149606299213,0.27775307740801,0.164648660343261,TMA14,0.292307692307692,0.269009510346864,0.162934774097565
TMA19,278,395,3,0.462655601659751,0.403597448900503,0.303164957013383,TMA15,,,
TMA19,278,395,3,0.464684014869888,0.566698701896395,0.352115488693658,TMA16,,,
TMA19,278,395,3,0.284274193548387,0.266556425407912,0.173831107393065,TMA17,,,
TMA19,278,395,3,0.461711711711712,0.584244502723421,0.400160191028485,TMA18,,,
